resource_name,resource_type
CBEC_GT11,SCLE90
CBEC_GT12,SCLE90
CBY4_CC1_3,CCGT90
CBY_CBY_G1,GSSUP
CBY_CBY_G2,GSSUP
CCEC_CC1_4,CCGT90
CEDROHIL_CHW1,WIND
CEDROHIL_CHW2,WIND
CEDRVALE_BESS,PWRSTR
CFLATS_U1,WIND
CHALUPA_UNIT1,WIND
CHALUPA_UNIT2,WIND
CHAMON_CTG_0101,SCLE90
CHAMON_CTG_0301,SCLE90
CHAMPION_UNIT1,WIND
CHE_CC1_6,CCGT90
CHISMGRD_BES1,PWRSTR
CITYVICT_CTG01,SCLE90
CITYVICT_CTG02,SCLE90
CN_BRKS_UNIT_1,WIND
COLETO_COLETOG1,CLLIG
CONIGLIO_UNIT1,PVGR
CORAZON_UNIT1,PVGR
COTPLNS_COTTONPL,WIND
COTPLNS_OLDSETLR,WIND
COTTON_PAP2,WIND
COYOTE_W_UNIT1,WIND
COYOTE_W_UNIT2,WIND
COYOTE_W_UNIT3,WIND
COYOTSPR_BESS,PWRSTR
CPSES_UNIT1,NUC
CPSES_UNIT2,NUC
CRANELL_UNIT1,WIND
CROSSETT_BES1,PWRSTR
CROSSETT_BES2,PWRSTR
CRWN_SLR_UNIT1,PVGR
CSEC_CSECG1,WIND
CSEC_CSECG2,WIND
CVC_CC1_2,CCGT90
DAG_UNIT1,PVGR
DAG_UNIT2,PVGR
DANSBY_DANSBYG1,GSREH
DANSBY_DANSBYG2,SCLE90
DANSBY_DANSBYG3,SCLE90
DCSES_BES1,PWRSTR
DCSES_BES2,PWRSTR
DCSES_BES3,PWRSTR
DCSES_BES4,PWRSTR
DCSES_CT10,SCLE90
DCSES_CT20,SCLE90
DCSES_CT30,SCLE90
DCSES_CT40,SCLE90
DDPEC_CC1_4,CCGT90
DECKER_DPGT_1,SCLE90
DECKER_DPGT_2,SCLE90
DECKER_DPGT_3,SCLE90
DECKER_DPGT_4,SCLE90
DEC_AGR_A,DSL
DEC_AGR_B,DSL
DEC_AGR_C,DSL
DEC_AGR_D,DSL
DELILA_1_G1,PVGR
DELILA_1_G2,PVGR
DERMOTT_UNIT1,WIND
DERMOTT_UNIT2,WIND
DEWOLF_UNIT1,WIND
DIB_CC1_5,CCGT90
DICKNSON_UNIT1,PWRSTR
DIGBY_UNIT1,WIND
DIGBY_UNIT2,WIND
DNDAM_DENISOG1,HYDRO
DNDAM_DENISOG2,HYDRO
DOWGEN_DOW_G37,SCLE90
DOWGEN_DOW_G61,SCLE90
DOWGEN_DOW_G63,SCLE90
DOWGEN_DOW_G66,SCGT90
DOWGEN_DOW_G67,SCGT90
DOWGEN_DOW_G81,SCLE90
DOWGEN_DOW_G82,SCLE90
DOWGEN_DOW_G83,SCLE90
DOWGEN_DOW_GT96,SCGT90
DOWGEN_DOW_ST64,GSNONR
DOWGEN_DOW_ST65,GSNONR
DOWGEN_DOW_ST84,GSNONR
DOWGEN_DOW_ST95,GSNONR
DSKYWND1_UNIT_1A,WIND
DSKYWND1_UNIT_1B,WIND
DSKYWND2_UNIT_2A,WIND
DSKYWND2_UNIT_2B,WIND
DUKE_CC1_2,CCGT90
ECEC_G1,SCGT90
ECEC_G2,SCGT90
ECLIPSE_UNIT1,PVGR
EGROVESL_UNIT1,PVGR
ELARA_SL_UNIT1,PVGR
ELB_ELBCREEK,WIND
ELLISSLR_UNIT1,PVGR
ELSAUZ_UNIT1,WIND
ELSAUZ_UNIT2,WIND
EL_RAYO_UNIT1,WIND
EL_RAYO_UNIT2,WIND
ENDPARKS_ESS1,PWRSTR
ESTONIAN_BES1,PWRSTR
ESTONIAN_SOLAR1,PVGR
ESTONIAN_SOLAR2,PVGR
ETCCS_CC1_2,CCGT90
EUNICE_BES1,PWRSTR
EUNICE_PV1,PVGR
EUNICE_PV2,PVGR
EXGNSND_WIND_1,WIND
EXGNWTL_WIND_1,WIND
EXN_EXN_G1,SCLE90
EXN_EXN_G10,SCLE90
EXN_EXN_G11,SCLE90
EXN_EXN_G12,SCLE90
EXN_EXN_G13,SCLE90
EXN_EXN_G14,SCGT90
EXN_EXN_G15,RENEW
EXN_EXN_G2,SCLE90
EXN_EXN_G3,SCLE90
EXN_EXN_G4,SCGT90
EXN_EXN_G8,SCLE90
EXN_EXN_G9,SCLE90
E_BLACK_UNIT_1,PVGR
FALCON_FALCONG1,HYDRO
FALCON_FALCONG2,HYDRO
FALCON_FALCONG3,HYDRO
FAULKNER_BESS,PWRSTR
FEGC_UNIT1,SCGT90
FENCESLR_BESS1,PWRSTR
FENCESLR_SOLAR1,PVGR
FENCESLR_SOLAR2,PVGR
FERGCC_CC1_2,CCGT90
FERMI_WIND1,WIND
FERMI_WIND2,WIND
FILESSLR_PV1,PVGR
FLAT_TOP_BESS1,PWRSTR
FLCNS_CC1_3,CCLE90
FLOWERII_BESS1,PWRSTR
FLTCK_SSI,WIND
FLUVANNA_UNIT1,WIND
FLUVANNA_UNIT2,WIND
FLVABES1_FLATU1,PWRSTR
FOARDCTY_UNIT1,WIND
FOARDCTY_UNIT2,WIND
FORMOSA_CC1_10,CCLE90
